Review,Stars,Prediction,PredictionProba,PredictionLabel
"I gifted this watch to my father and he loved this classic watch 💌 , thanks Myntra",4,1,0.9233728558659455,OR
"not suitable for everyone, good for office people.
no doubt, watch is good. one thing I received in working condition is it Okay ?",4,1,0.9422602881419994,OR
Worth it.very nice watch,5,1,0.7771044361018317,OR
The product is better than I expected ??,5,1,0.7557937872150479,OR
"Excellent timepiece with a classic design.Liked it very much.For me the dial is perfect,not too small and not too big.Go for it if you like classic watches.",5,1,0.9481402018776319,OR
"Absolutely amazing watch , minimalist and elegant  design. Looks even better in person.",5,1,0.9473258015042493,OR
The watch is absolutely amazing but I paid extra money for gift wrapping with customised card that did not came with .....such a big blunder from myntra was not expected.....,3,1,0.989878967037838,OR
Very good Quality am happy ??,5,0,0.2118029747414947,CG
This is an excellent piece of men accesories. Goes well with both formal and casual attires. And comes with the quality and trust of Titan offcourse. Recommended to buy.,5,1,0.9478133737299353,OR
"Classy and original Titan watch at a very low price

A must buy watch within budget 
It goes very well with formal wear",5,1,0.971545299454206,OR
Looks very elegant and quality is superb. Go for it,5,1,0.7295348275900925,OR
I love it😍,5,1,0.6478814426721087,OR
My hubby like the product is superb,4,1,0.8053607154563351,OR
"Value for money, detail quality review will share after some use",4,1,0.9058818360068205,OR
It looks absolutely stunning. It's good for both casual as well as formal wear. Overall good.,5,1,0.9737061618759664,OR
"This watch looks premium and feels premium , good for skinny hands , love this watch✌🏾",5,1,0.8935248707845714,OR
Good product ?,4,1,0.62467931619717,OR
Nice quality..but could've put a little more effort in packaging,5,1,0.8561603706729309,OR
"Good in looks and quality…suits better for small to medium wrist size,packaging is very nice",4,1,0.8180243917403177,OR
"The watch is very nice... 

But from where I will get the warranty card??",4,1,0.7720954443856215,OR
Awesome,5,1,0.770866906913646,OR
Very good & amazing product 👍,5,1,0.6748147169712755,OR
"Very nice watch, best at this price. It just gives a very premium feel.",5,1,0.9251716849704277,OR
Very stylish watch 👌👌👌,5,1,0.9438983679798212,OR
Looking very awesome has a beautiful shining on it,5,1,0.7206383411552262,OR
My husband like it so much.... Thankyou myntra,5,1,0.9882963373968809,OR
"Is watch  is too good 
I purchase for gift 
And  he very  likes",5,1,0.8908031844008647,OR
The product is worth the price as expected the same was it.,5,1,0.810003010680867,OR
Beautiful watch as shown,4,1,0.9525686298816461,OR
"Terrific purchase for 
Product is as per the expectation 
Go for it",5,1,0.8871332583825523,OR
Good one can go for it 1500 sufficient price,1,1,0.8533496163415353,OR
Gifted this product and my friend was happy with the design and sleek look.,5,1,0.6379149321896748,OR
I loved the product and the way it was delivered in proper condition.,5,1,0.5925512486047569,OR
good watch in budget from myntra and genuine,4,1,0.9364626846706087,OR
Osum product??,5,0,0.4764495162439625,CG
Go for it... very nice❤️❤️❤️❤️❤️,5,1,0.9686378346621247,OR
Very classy and simple design,5,1,0.7849758589416537,OR
Best watch in this price. My husband loved it.,5,1,0.6767128430550754,OR
My Dad liked the product very much... Quality is very good,5,1,0.9302999623858906,OR
Awesome product I like the watch. Thank you Myntra..,5,1,0.9235296125558425,OR
"It is a best fit for the skinny people, i loved it!",5,0,0.4066458443144826,CG
So beautiful…just same as shown in the photos,5,1,0.9888831304558905,OR
I love this watch. It's like premium look❤️,5,1,0.751634987766816,OR
I gifted this watch to my father in law and he loves it,5,1,0.7317409450214752,OR
Its nice....but Little bit heavy,5,1,0.9830483066019926,OR
Amazing Watch And Perfect Love itt 🫡,5,1,0.8577155496579172,OR
Osam watch,4,1,0.7467477862763884,OR
It's good.,4,0,0.49722411321940185,CG
Good?,5,0,0.4827934726913608,CG
Bought it as a gift for my dad. He loved it.,5,1,0.724063073342592,OR
Watch locking and her design is so good 😊,5,1,0.592966630261668,OR
Gifted this to my brother and he loved it,5,1,0.8972423052568272,OR
Very good watch my husband likes the ⌚,5,0,0.21564332261835584,CG
Amazing look also good quality material,5,1,0.8171990417739062,OR
Bought this for my father. He loved it,5,1,0.5197433587765258,OR
Best buy in the price segment.,4,1,0.7988604200652484,OR
The watch looks good and fits good,5,1,0.8350048088415625,OR
It is a good watch  easily adjusted,5,1,0.6582733783634814,OR
Perfect gift for someone special,5,1,0.956265225306183,OR
"Best in class , worth the price",5,1,0.7616584733217251,OR
Still using from last 5 yrs,5,1,0.8662061055207239,OR
Best quality prdct ...,5,1,0.9722897504623973,OR
"Best product!
True value for money",5,1,0.7113491975067644,OR
Nice simple.and buetifull.,4,1,0.9275013243232251,OR
Very nice look and build quality,5,1,0.8170625678047326,OR
Amazing... classic....,4,1,0.9828632646247345,OR
Got it as a gift! It's nice!,5,1,0.89882735111534,OR
Worth for money ☺️,5,1,0.8164348681793994,OR
Quality is very nice,5,0,0.374944595251408,CG
Perfect watch for formals,5,1,0.7690569131472557,OR
Nice watch..I like it👌,5,1,0.8392416994863475,OR
"Awesome, it's a great one",5,0,0.29934523863369256,CG
Good product  go for it,5,1,0.8038383421931343,OR
As expexted ❤️❤️,5,1,0.9222296827794148,OR
Worth it for money 💰,5,1,0.7947496798655453,OR
Small and perfect size,5,1,0.9091502758419868,OR
Really nice watch ⌚.,5,1,0.7641832490296271,OR
Very nice look watch,5,1,0.7841296388666938,OR
Very bad quality ????,5,1,0.6230522944216016,OR
Good product,4,1,0.8124555472818015,OR
nice watch,5,1,0.7532401412952114,OR
Osm ❤️,5,1,0.7557988487151857,OR
Awesome watch,5,1,0.760639907459389,OR
Nice,4,1,0.7601505624701649,OR
Nice watch,4,1,0.7532401412952114,OR
Very  nice watch,5,1,0.801037203098298,OR
Amazing watch,5,1,0.7494684135039116,OR
So beautiful ❤️,5,1,0.8113191973365039,OR
Awesome...,5,1,0.9814183210135715,OR
unknown,5,1,0.8254468639877202,OR
Amazing?,5,0,0.4826062632851328,CG
Metal is nice & classic,3,1,0.9530010157532169,OR
Nice quality,5,1,0.821136690242894,OR
Verry nice??,5,0,0.46279410929317555,CG
Good quality ?,5,0,0.45043534761305837,CG
Orthodox but nice.,5,1,0.5484583528081227,OR
Worth for money,5,1,0.8164348681793994,OR
Dial too small for men,3,1,0.6216556661044124,OR
Good one I like it,4,1,0.579721033505003,OR
A perfect watch .,4,1,0.7466568122725563,OR
Awesome 🥰,4,1,0.770866906913646,OR
Good quality watch,5,1,0.71184679535706,OR
Great product 👍,5,0,0.3091915792397713,CG
Classy!,4,1,0.8829131362317295,OR
Good quality,5,1,0.6737598782313589,OR
Great product,5,0,0.3091915792397713,CG
Amazing watches,5,1,0.897971328252415,OR
Nice One,4,1,0.6824248223320297,OR
Very nice watch,5,1,0.801037203098298,OR
Very satisfied,5,1,0.97664051735803,OR
Very nice watch,5,1,0.801037203098298,OR
Nice product,5,1,0.7719304777669792,OR
Awesome watch,5,1,0.760639907459389,OR
It's amazing,5,1,0.6573499390668784,OR
Nice,4,1,0.7601505624701649,OR
So wonderful,5,1,0.9297996828964082,OR
Nice,4,1,0.7601505624701649,OR
Good looking,5,1,0.8085118459715518,OR
Must have,5,1,0.7552189558525564,OR
Good one,5,1,0.7285005658032584,OR
Like it,5,1,0.8382801939991504,OR
Good,4,1,0.8685069972124306,OR
Good quality,5,1,0.6737598782313589,OR
Nice watch,5,1,0.7532401412952114,OR
Nice watch,5,1,0.7532401412952114,OR
Fantastic,5,1,0.7711160670032543,OR
Good,5,1,0.8685069972124306,OR
Nice1,5,1,0.7557988487151857,OR
Okay,5,1,0.7559228735516398,OR
Good,5,1,0.8685069972124306,OR
Loved it,5,1,0.6883603251466386,OR
Amazing,5,1,0.7557498881342856,OR
Stylish,5,1,0.9563478925926375,OR
So good,5,1,0.8970829229751909,OR
Classic,5,1,0.9500322023045017,OR
unknown,4,1,0.8254468639877202,OR
Amazing,5,1,0.7557498881342856,OR
Love it,5,1,0.6087653420378898,OR
Looking dashing,3,1,0.8000801672902051,OR
Good,3,1,0.8685069972124306,OR
Nice,5,1,0.7601505624701649,OR
Nice,5,1,0.7601505624701649,OR
Nice,5,1,0.7601505624701649,OR
Nice,5,1,0.7601505624701649,OR
Ok,5,1,0.8068285470357198,OR
Nice,5,1,0.7601505624701649,OR
Good,5,1,0.8685069972124306,OR
unknown,5,1,0.8254468639877202,OR
Size as I wanted,3,1,0.8585243354834748,OR
Nice watch,3,1,0.7532401412952114,OR
Average,3,1,0.8888222458467031,OR
the size was too small as shown in the picture,2,1,0.8890253734326592,OR
Not good quality as expected and also price is too high compared to quality.  I am not happy with this 2 products . It was waste of money,3,1,0.9026703904657076,OR
It's fantastic...you can go for it...,1,1,0.9632081391361311,OR
unknown,1,1,0.8254468639877202,OR
Its not working,1,1,0.9671499538874425,OR
Good,3,1,0.8685069972124306,OR
Ok,3,1,0.8068285470357198,OR
Packing is at its worst... thry just dumped all the 5 products which I ordered with this product worth of 5500 in a cover without any proper packing of all individual items..... not expected from myntra atleast,1,1,0.9990042871828434,OR
Time stops automatically and the lock doesn't work properly,1,1,0.6468791312620974,OR
Good,3,1,0.8685069972124306,OR
The strap was full of scratches,2,1,0.7539436898779726,OR
